,sentence,open_q,close_q,affirm,reflect,sd,b,sv,%,aa,ba,qy,ny,fc,qw,nn,bk,h,qy^d,bh,^q,bf,"fo_o_fw_""_by_bc",na,ad,^2,b^m,qo,qh,^h,ar,ng,br,no,fp,qrr,arp_nd,t3,oo_co_cc,aap_am,t1,bd,^g,qw^d,fa,ft
617,"Yes, it's a blood test for your shoulder pain and the headaches,
see what else you do spent six months.",0,0,0,0,0.776138544,0.000324246,0.18894428,0.00028362,0.000790309,0.001129792,0.020401919,0.000278148,0.000138571,0.000230614,9.60E-06,0.000217792,8.38E-05,0.005671834,0.00026371,0.000540805,0.001023473,0.00029912,0.000154792,0.001210141,0.00075068,0.000110628,0.000409217,0.000188027,0.000171834,1.75E-05,5.34E-05,4.29E-05,5.18E-05,1.73E-06,7.93E-07,1.32E-05,2.37E-05,1.33E-05,2.22E-06,3.48E-06,2.58E-06,8.62E-07,6.48E-06,1.94E-07,2.74E-07
618,Yes.,0,0,0,0,0.023257414,0.021952858,0.014499795,0.023086453,0.018760439,0.019691521,0.014288587,0.017821005,0.024131771,0.018770009,0.023994533,0.019390756,0.024446679,0.021679092,0.018490801,0.02428274,0.021715943,0.029862707,0.022794973,0.019167831,0.033947233,0.039310049,0.015122966,0.019688945,0.022263734,0.031546678,0.03065932,0.027602484,0.024484869,0.027682425,0.034073319,0.024333227,0.033435054,0.022902621,0.029717708,0.028145693,0.034927789,0.026399709,0.022588184,0.023586394,0.02549574
619,"Okay, order on some general blood tests but you had blood tests in, in, in March, and they lived.",0,0,0,0,0.818019927,0.000136781,0.128653467,0.000654281,0.000860975,0.000323027,0.045215838,0.000219959,0.000176366,0.000312191,2.54E-05,5.63E-05,0.000282285,0.000388362,0.000123116,0.000450811,0.000865834,0.000151168,0.000330045,0.000470245,0.000553491,0.000273573,4.88E-05,0.000699529,5.42E-05,0.000105763,0.000150364,4.68E-05,0.000150233,8.55E-06,2.23E-05,6.75E-05,2.55E-05,2.62E-05,8.88E-06,1.66E-05,3.74E-06,4.85E-06,1.16E-05,4.02E-06,1.11E-06
620,"Okay, so I didn't feel strongly that we needed to repeat any of them, but I will add on one of the tests.",0,0,0,0,0.771883726,0.000194763,0.219841555,0.000853748,0.001160605,0.000684994,0.001104093,0.000151633,0.000842187,3.82E-05,7.20E-06,6.45E-05,0.000432308,0.00083291,1.40E-05,0.000336977,0.000340275,6.22E-05,0.000565226,7.34E-05,5.30E-05,3.98E-05,2.59E-05,6.54E-05,5.32E-05,4.30E-05,7.53E-05,4.03E-06,5.23E-05,5.10E-06,3.09E-07,5.54E-05,4.38E-06,2.07E-05,4.57E-06,3.27E-06,1.67E-06,5.27E-07,6.57E-06,4.71E-07,5.32E-07
621,Okay.,0,0,0,0,0.023257414,0.021952858,0.014499795,0.023086453,0.018760439,0.019691521,0.014288587,0.017821005,0.024131771,0.018770009,0.023994533,0.019390756,0.024446679,0.021679092,0.018490801,0.02428274,0.021715943,0.029862707,0.022794973,0.019167831,0.033947233,0.039310049,0.015122966,0.019688945,0.022263734,0.031546678,0.03065932,0.027602484,0.024484869,0.027682425,0.034073319,0.024333227,0.033435054,0.022902621,0.029717708,0.028145693,0.034927789,0.026399709,0.022588184,0.023586394,0.02549574
622,"
Yeah, so no problem, I want to add on additional bloodwork so just come to the lab to get that done, you actually do not need to fast, do not need to know fasting needed.",0,0,0,0,0.637614071,0.000239789,0.355018646,0.000867267,0.003028337,0.000289952,0.000399968,8.89E-05,0.000622453,4.44E-05,2.46E-05,1.12E-05,6.12E-05,0.000286895,2.01E-06,0.000355668,0.000338172,5.83E-05,6.90E-05,0.000207398,0.000122037,6.00E-05,7.31E-06,8.33E-05,1.65E-05,4.51E-05,9.65E-06,1.26E-06,5.43E-06,1.42E-06,2.98E-07,9.90E-06,1.66E-06,5.36E-06,3.92E-07,1.67E-07,2.04E-07,1.20E-07,1.47E-06,2.84E-08,4.30E-08
623,Okay.,0,0,0,0,0.023257414,0.021952858,0.014499795,0.023086453,0.018760439,0.019691521,0.014288587,0.017821005,0.024131771,0.018770009,0.023994533,0.019390756,0.024446679,0.021679092,0.018490801,0.02428274,0.021715943,0.029862707,0.022794973,0.019167831,0.033947233,0.039310049,0.015122966,0.019688945,0.022263734,0.031546678,0.03065932,0.027602484,0.024484869,0.027682425,0.034073319,0.024333227,0.033435054,0.022902621,0.029717708,0.028145693,0.034927789,0.026399709,0.022588184,0.023586394,0.02549574
624,"Marie, Ram question about your medication.",0,0,0,0,0.141445488,0.045590367,0.110853881,0.015677467,0.04874102,0.042798474,0.024066482,0.013742038,0.014699362,0.027214425,0.005378488,0.015713504,0.005639456,0.030999349,0.012481378,0.018810106,0.008558202,0.020987689,0.010860311,0.149389878,0.020149605,0.005335176,0.070297636,0.073261216,0.026469879,0.003033648,0.001024194,0.007004971,0.002473861,0.00074555,0.000438665,0.001821877,0.004115306,0.008079758,0.000910894,0.00318027,0.001237975,0.000418075,0.005208705,0.000705663,0.000439751
625,Are you still taking that medication.,0,0,0,0,0.005507051,0.000398338,0.00440829,0.002023504,0.00097016,0.000706966,0.935229659,0.000255062,0.000466768,0.000791501,8.56E-05,0.000235197,7.50E-05,0.011685319,0.002111471,0.003339922,0.017870225,0.001348372,0.000263738,0.000832736,0.003965135,0.001399897,0.000183784,0.003389148,6.93E-05,0.000264231,9.19E-05,0.000167998,0.000123978,5.25E-05,0.000876308,0.000183734,9.17E-05,0.000140056,4.82E-05,3.63E-05,7.90E-05,0.000108375,5.95E-05,1.12E-05,5.30E-05
626,Nice.,0,0,0,0,0.023257414,0.021952858,0.014499795,0.023086453,0.018760439,0.019691521,0.014288587,0.017821005,0.024131771,0.018770009,0.023994533,0.019390756,0.024446679,0.021679092,0.018490801,0.02428274,0.021715943,0.029862707,0.022794973,0.019167831,0.033947233,0.039310049,0.015122966,0.019688945,0.022263734,0.031546678,0.03065932,0.027602484,0.024484869,0.027682425,0.034073319,0.024333227,0.033435054,0.022902621,0.029717708,0.028145693,0.034927789,0.026399709,0.022588184,0.023586394,0.02549574
627,"
You're taking.",0,0,0,0,0.023257414,0.021952858,0.014499795,0.023086453,0.018760439,0.019691521,0.014288587,0.017821005,0.024131771,0.018770009,0.023994533,0.019390756,0.024446679,0.021679092,0.018490801,0.02428274,0.021715943,0.029862707,0.022794973,0.019167831,0.033947233,0.039310049,0.015122966,0.019688945,0.022263734,0.031546678,0.03065932,0.027602484,0.024484869,0.027682425,0.034073319,0.024333227,0.033435054,0.022902621,0.029717708,0.028145693,0.034927789,0.026399709,0.022588184,0.023586394,0.02549574
628,"
Okay.",0,0,0,0,0.023257414,0.021952858,0.014499795,0.023086453,0.018760439,0.019691521,0.014288587,0.017821005,0.024131771,0.018770009,0.023994533,0.019390756,0.024446679,0.021679092,0.018490801,0.02428274,0.021715943,0.029862707,0.022794973,0.019167831,0.033947233,0.039310049,0.015122966,0.019688945,0.022263734,0.031546678,0.03065932,0.027602484,0.024484869,0.027682425,0.034073319,0.024333227,0.033435054,0.022902621,0.029717708,0.028145693,0.034927789,0.026399709,0.022588184,0.023586394,0.02549574
629,Okay.,0,0,0,0,0.023257414,0.021952858,0.014499795,0.023086453,0.018760439,0.019691521,0.014288587,0.017821005,0.024131771,0.018770009,0.023994533,0.019390756,0.024446679,0.021679092,0.018490801,0.02428274,0.021715943,0.029862707,0.022794973,0.019167831,0.033947233,0.039310049,0.015122966,0.019688945,0.022263734,0.031546678,0.03065932,0.027602484,0.024484869,0.027682425,0.034073319,0.024333227,0.033435054,0.022902621,0.029717708,0.028145693,0.034927789,0.026399709,0.022588184,0.023586394,0.02549574
630,"
How do you keep track of your medications.",0,0,0,0,0.005358214,0.000341745,0.005865712,0.000331791,0.000532702,0.001055569,0.023242913,0.000383169,0.000659438,0.711320639,0.001184957,0.000453374,0.000243375,0.001154441,0.003711151,0.011082469,0.001438276,0.000931874,0.00058563,0.013354155,0.001274514,0.000766254,0.17164588,0.031124737,0.001202104,0.000484551,8.66E-05,0.001165636,0.000426741,0.000663977,0.000502838,0.000643486,0.001377251,0.000373189,0.000218238,0.002279466,0.000163131,6.25E-05,0.002039845,6.59E-05,0.000201638
631,"How do you keep track Do you use, do you use a PO Box, or do you take them from the pill bottle
here.",0,0,0,0,0.252443641,0.000349208,0.032915514,0.000711117,0.000719444,0.001876716,0.534404278,0.000376732,0.00184544,0.052028995,0.000428277,0.000316932,0.000252775,0.001384301,0.00701752,0.028812328,0.004817864,0.000959404,0.001163735,0.007333954,0.001113336,0.000828394,0.017106971,0.046032138,0.000466897,0.000660116,8.74E-05,0.000267063,0.000519924,0.000399822,0.000639705,0.000259974,0.000440516,0.00012792,1.19E-05,0.000338609,1.44E-05,2.80E-05,0.000430817,4.45E-05,2.33E-05
632,"
Okay, let me ask again.",0,0,0,0,0.376984298,0.017523851,0.132245138,0.015347519,0.024975764,0.014131449,0.00889313,0.00944838,0.030913305,0.002299842,0.000972491,0.012504593,0.008518124,0.004299148,0.002370446,0.026205659,0.000997653,0.026417684,0.006119989,0.186535805,0.011469762,0.001746055,0.003387231,0.010435466,0.034282774,0.000627249,0.000693953,0.000675216,0.001503658,0.000290014,3.02E-05,0.000692276,0.002419961,0.020937223,0.00023376,0.001397908,0.000299066,7.79E-05,0.000847012,0.000166534,8.26E-05
633,"Do you take the medications from a third box or from the robot from a pillbox or do you take them directly from the bottle
bottle.",0,0,0,0,0.194425076,8.68E-05,0.02645148,0.000714999,0.000223887,7.93E-05,0.640735388,0.000289629,0.002566842,0.000341621,3.31E-05,4.90E-05,0.000125191,0.000637333,0.000409396,0.116714925,0.002864485,0.000386197,0.000112132,0.001956036,0.00114811,0.000144525,3.32E-05,0.008823312,5.50E-05,8.34E-05,1.13E-05,5.60E-06,0.000104059,1.36E-05,5.41E-05,2.89E-05,4.06E-05,0.000170333,7.55E-06,8.15E-06,9.84E-06,1.71E-05,1.88E-05,2.22E-06,1.73E-05
634,Okay.,0,0,0,0,0.023257416,0.02195286,0.014499795,0.023086453,0.018760441,0.019691519,0.014288585,0.017821005,0.024131775,0.018770013,0.023994541,0.019390756,0.024446687,0.021679096,0.018490799,0.024282737,0.021715943,0.029862715,0.022794971,0.019167829,0.033947226,0.039310046,0.015122966,0.019688945,0.022263728,0.031546675,0.030659322,0.027602484,0.024484877,0.027682425,0.034073312,0.024333226,0.033435047,0.022902615,0.029717712,0.028145701,0.034927797,0.026399711,0.022588193,0.023586392,0.025495736
635,"
Let's see here.",0,0,0,0,0.07997632,0.399910092,0.036794763,0.07617715,0.035961773,0.063774668,0.012343233,0.014996829,0.036181513,0.004943559,0.00261908,0.063419767,0.008563441,0.005966987,0.006620688,0.006515711,0.004097321,0.019093284,0.00851478,0.020093804,0.010127739,0.013136014,0.002919468,0.003473119,0.035244763,0.001043285,0.002462945,0.001665939,0.005283902,0.000994033,0.000212175,0.002249494,0.002748952,0.003669607,0.00063644,0.003527506,0.001138436,0.000549162,0.001452322,0.000424159,0.000475841
636,Okay.,0,0,0,0,0.023257414,0.021952858,0.014499795,0.023086453,0.018760439,0.019691521,0.014288587,0.017821005,0.024131771,0.018770009,0.023994533,0.019390756,0.024446679,0.021679092,0.018490801,0.02428274,0.021715943,0.029862707,0.022794973,0.019167831,0.033947233,0.039310049,0.015122966,0.019688945,0.022263734,0.031546678,0.03065932,0.027602484,0.024484869,0.027682425,0.034073319,0.024333227,0.033435054,0.022902621,0.029717708,0.028145693,0.034927789,0.026399709,0.022588184,0.023586394,0.02549574
637,I'm not sure.,0,0,0,0,0.179906949,0.037026782,0.168680146,0.044942856,0.064067006,0.044178333,0.013471634,0.011182327,0.025743678,0.009369596,0.010132974,0.008661245,0.030520089,0.0293942,0.00691787,0.032090012,0.026191676,0.018720932,0.023031615,0.014410242,0.03726824,0.029155815,0.004837297,0.016587123,0.009847591,0.015215394,0.016513966,0.006563464,0.011094987,0.003257731,0.003044462,0.006729917,0.005821572,0.004720239,0.008554064,0.004991989,0.006526164,0.002587048,0.004615015,0.001874004,0.00155372
638,Give me one moment here.ph pulling your flow sheet.,0,0,0,0,0.297069997,0.000444262,0.340112954,0.000152246,0.004528958,0.001955518,0.001123132,0.000368823,0.002861199,0.000168411,2.48E-05,0.000764939,0.00024112,0.003814206,8.04E-05,0.004105136,0.028951738,0.00251714,0.000567215,0.304207534,0.002473162,0.000766865,0.00051447,0.000318364,0.00082105,7.69E-05,6.68E-05,0.000100897,3.91E-05,1.05E-05,5.87E-07,7.30E-05,0.000240761,0.000388627,1.66E-05,4.34E-06,7.15E-06,1.73E-06,1.56E-05,1.58E-06,2.27E-06
639,Can I ask you a few questions again to see how your depression is doing.,0,0,0,0,0.603433132,0.000493924,0.040187363,0.001236977,0.000656509,0.001206657,0.115411051,0.00216904,0.011863528,0.003369831,3.45E-05,0.000974072,0.00017391,0.004167603,0.002872781,0.044808324,0.001637037,0.01470921,0.000236431,0.119369268,0.001284749,0.000668846,0.001777012,0.013415457,0.006794105,0.000138693,2.11E-05,0.000154453,0.000109323,0.000171189,1.07E-05,0.000263475,0.00072088,0.005070858,1.55E-05,0.000143844,1.90E-05,5.66E-06,0.000122363,4.60E-05,3.56E-05
640,Okay.,0,0,0,0,0.023257414,0.021952858,0.014499795,0.023086453,0.018760439,0.019691521,0.014288587,0.017821005,0.024131771,0.018770009,0.023994533,0.019390756,0.024446679,0.021679092,0.018490801,0.02428274,0.021715943,0.029862707,0.022794973,0.019167831,0.033947233,0.039310049,0.015122966,0.019688945,0.022263734,0.031546678,0.03065932,0.027602484,0.024484869,0.027682425,0.034073319,0.024333227,0.033435054,0.022902621,0.029717708,0.028145693,0.034927789,0.026399709,0.022588184,0.023586394,0.02549574
641,"
One moment.",0,0,0,0,0.350734025,0.04492978,0.130915359,0.099974386,0.015565092,0.010317011,0.004541294,0.003105629,0.011390291,0.004589734,0.001737339,0.00690654,0.011761492,0.008611561,0.00138518,0.007391667,0.01319113,0.010679018,0.014153603,0.008591648,0.067237347,0.104885295,0.000857307,0.00675003,0.006602879,0.003421472,0.005007475,0.003491797,0.003139888,0.002739183,0.004028546,0.002998923,0.008257327,0.003327316,0.00360028,0.003636863,0.002882854,0.001165887,0.004100561,0.000851726,0.000545247
642,"
I want you to think, over the last two weeks to answer these questions.",0,0,0,0,0.754609644,0.000194072,0.205535859,0.000245186,0.000606032,0.000315625,0.000835792,8.26E-05,0.005500828,7.39E-05,1.44E-05,0.000113678,0.000284001,0.001634842,1.78E-05,0.014832964,0.001334829,0.000529261,0.000118115,0.010647639,0.000487211,0.000216506,1.04E-05,0.00022663,0.00071469,3.08E-05,4.14E-05,4.87E-06,7.25E-05,1.72E-05,2.39E-06,0.000111039,0.000142945,0.000323945,1.30E-05,6.44E-06,5.95E-06,1.43E-06,3.57E-05,3.60E-06,4.40E-06
643,Okay.,0,0,0,0,0.023257414,0.021952858,0.014499795,0.023086453,0.018760439,0.019691521,0.014288587,0.017821005,0.024131771,0.018770009,0.023994533,0.019390756,0.024446679,0.021679092,0.018490801,0.02428274,0.021715943,0.029862707,0.022794973,0.019167831,0.033947233,0.039310049,0.015122966,0.019688945,0.022263734,0.031546678,0.03065932,0.027602484,0.024484869,0.027682425,0.034073319,0.024333227,0.033435054,0.022902621,0.029717708,0.028145693,0.034927789,0.026399709,0.022588184,0.023586394,0.02549574
644,So the first question.,0,0,0,0,0.590973854,0.002790686,0.095763877,0.016236281,0.001189272,0.001792541,0.011982946,0.000432273,0.002918989,0.003450007,0.000210924,0.001808187,0.002801467,0.063733265,0.001279696,0.003820813,0.058286652,0.006025375,0.005649716,0.066367328,0.024224794,0.015633723,0.002823916,0.001753462,0.002534687,0.000920732,0.001797654,0.001112965,0.001054308,0.000320322,0.000602344,0.002903427,0.001011505,0.001737465,0.000651676,0.000490828,0.000520175,0.000313279,0.00166689,0.000160371,0.000251205
645,And then you have a couple of answer choices so over the last two weeks.,0,0,0,0,0.759335697,0.00016066,0.216365471,0.001519772,0.000225639,0.000239914,0.002445332,5.76E-05,0.000470867,0.000379304,6.61E-06,4.78E-05,0.000468542,0.007132249,4.55E-05,0.000912992,0.002821721,8.97E-05,0.00029685,0.004325314,0.001150704,0.000133019,0.00011874,0.00058602,0.000291589,1.95E-05,2.42E-05,1.49E-05,5.96E-05,2.61E-06,1.15E-05,3.50E-05,5.22E-05,6.68E-05,8.74E-06,6.27E-06,4.01E-06,3.81E-06,5.92E-05,1.53E-06,2.52E-06
646,"How often have you been bothered by any of the following problems, interest or pleasure in doing things.",0,0,0,0,0.206580371,0.000124765,0.097790748,0.000470328,0.000478124,0.000841643,0.453743935,0.00044323,0.001512966,0.162795737,0.000385715,0.000352534,0.000332372,0.007618586,0.001458571,0.006507163,0.01279422,0.00042624,0.000905164,0.002041867,0.001847545,0.001453342,0.020647276,0.008953734,0.000566804,0.000713981,0.000427033,0.000287601,0.000535102,0.00050461,0.001839581,0.001892035,0.000546288,0.000337118,7.09E-05,0.000781416,0.000106993,7.89E-05,0.000663081,3.56E-05,0.000106849
647,So your answer options are not at all.,0,0,0,0,0.228016347,0.000573225,0.495308131,0.001343831,0.001445193,0.004601565,0.008003608,0.000500906,0.002301973,0.001008646,0.000100682,0.000544996,0.001728877,0.022779165,0.00037827,0.049620043,0.023795759,0.003720716,0.000189376,0.137736484,0.00860242,0.001430793,0.001270456,0.002455645,0.00071423,0.000209519,6.83E-05,2.66E-05,0.000147745,2.37E-05,1.03E-05,0.000134616,0.000131022,0.000671037,0.000116437,3.30E-05,3.54E-05,5.59E-06,0.000194486,6.19E-06,1.47E-05
648,"Several days, more than half the days, nearly every day.",0,0,0,0,0.97486037,0.00011235,0.021846509,0.00017658,0.000383831,0.000173272,8.80E-05,2.87E-05,0.000499731,7.78E-06,1.72E-06,1.23E-05,7.05E-05,0.000191049,3.23E-06,0.00013784,0.00043599,3.48E-05,0.000596721,1.15E-05,9.64E-05,0.000140933,1.50E-06,1.28E-05,7.91E-06,1.17E-05,1.85E-05,2.30E-06,9.01E-06,4.95E-06,2.29E-07,7.12E-06,5.90E-06,1.42E-06,1.83E-06,1.18E-06,5.16E-07,5.01E-07,1.82E-06,4.38E-07,1.95E-07
649,"So again, little interest or pleasure in doing things, not at all.",0,0,0,0,0.523936331,0.000199514,0.359805375,0.00237629,0.000838456,0.000177506,0.013383634,9.98E-05,0.005753063,0.000848702,4.62E-05,0.000191669,0.000478309,0.023737185,5.75E-05,0.000537182,0.053684376,0.000562698,0.002950324,0.000744159,0.006299464,0.000761249,0.000235807,0.000321675,0.000119922,0.000339452,0.000425981,2.49E-05,0.000136771,6.61E-05,0.000101913,0.000254907,0.000136742,5.63E-05,6.66E-05,2.49E-05,2.00E-05,1.27E-05,0.000145701,5.09E-06,3.53E-05
650,"Several days, more than half the days, nearly every day,
every day,
feeling down, depressed, irritable, or hopeless.",0,0,0,0,0.965359509,7.40E-05,0.031920098,0.000143423,0.000286004,0.000155344,7.78E-05,1.80E-05,0.000486956,5.56E-06,9.63E-07,1.11E-05,4.86E-05,0.000198725,2.60E-06,7.12E-05,0.000341514,2.33E-05,0.000572206,9.60E-06,6.48E-05,6.47E-05,1.10E-06,9.23E-06,7.83E-06,8.36E-06,1.08E-05,1.39E-06,6.06E-06,2.69E-06,1.60E-07,7.07E-06,4.13E-06,9.05E-07,1.29E-06,7.33E-07,3.36E-07,3.13E-07,1.14E-06,2.53E-07,1.15E-07
651,"Yes, every, more than half those several days.",0,0,0,0,0.644213498,0.002371744,0.272238284,0.00549029,0.014693474,0.003463774,0.006933272,0.001268873,0.002547245,0.000342162,0.000144903,0.000205276,0.002281665,0.005518848,0.000212432,0.003524092,0.012593651,0.000672729,0.004818818,0.000665649,0.007851064,0.002891777,8.63E-05,0.000727437,0.000251586,0.000433444,0.001409064,0.000172258,0.000605682,0.000123557,9.25E-05,0.000253526,0.00026347,9.53E-05,0.000220809,6.78E-05,6.42E-05,3.25E-05,0.000123137,1.81E-05,1.56E-05
652,Not at all.,0,0,0,0,0.253046334,0.003078578,0.165955007,0.011555497,0.014934825,0.009298913,0.009036199,0.003759817,0.003231627,0.001307952,0.00561034,0.00268288,0.016921362,0.073061854,0.001020797,0.001321923,0.012294312,0.012482781,0.005966004,0.001931346,0.019317573,0.026199691,0.001272422,0.000516685,0.003516599,0.030340228,0.275842398,0.001199527,0.008588554,0.000445862,0.000437721,0.004602892,0.001469415,0.001342595,0.009786707,0.000415484,0.003778975,0.000662252,0.00128158,0.000227647,0.00025681
653,"
Every day, trouble falling or staying asleep, or, or sleeping too much.",0,0,0,0,0.641726553,0.000754206,0.330946833,0.001299899,0.001484505,0.000229762,0.001497,4.87E-05,0.000115061,6.11E-05,8.54E-06,6.51E-05,0.000200558,0.003334653,2.30E-05,0.000139744,0.002731974,0.000174421,0.001953863,0.000127405,0.01097314,0.001619736,2.08E-05,0.000184515,2.96E-05,3.26E-05,4.86E-05,1.85E-05,2.66E-05,1.81E-06,1.01E-05,9.22E-06,5.49E-05,5.36E-06,8.27E-06,4.29E-06,7.03E-06,2.93E-06,1.88E-05,3.95E-07,2.47E-07
654,"Yes, every day, more than half the days several days.",0,0,0,0,0.702887952,0.001123518,0.265924901,0.003644993,0.004399932,0.001245676,0.002041085,0.000312985,0.001653221,0.000174079,3.40E-05,9.52E-05,0.001099348,0.002794586,6.71E-05,0.000973861,0.005345522,0.000160658,0.002035381,0.000270809,0.001613006,0.000522803,3.72E-05,0.000307638,0.000133528,0.000146212,0.000377712,4.56E-05,0.000178398,2.11E-05,1.47E-05,0.000109017,6.17E-05,2.50E-05,3.13E-05,1.56E-05,1.50E-05,9.18E-06,4.33E-05,2.69E-06,4.17E-06
655,Not at all.,0,0,0,0,0.253046334,0.003078578,0.165955007,0.011555497,0.014934825,0.009298913,0.009036199,0.003759817,0.003231627,0.001307952,0.00561034,0.00268288,0.016921362,0.073061854,0.001020797,0.001321923,0.012294312,0.012482781,0.005966004,0.001931346,0.019317573,0.026199691,0.001272422,0.000516685,0.003516599,0.030340228,0.275842398,0.001199527,0.008588554,0.000445862,0.000437721,0.004602892,0.001469415,0.001342595,0.009786707,0.000415484,0.003778975,0.000662252,0.00128158,0.000227647,0.00025681
656,"
feeling tired or having little energy.",0,0,0,0,0.493753374,0.000928344,0.381079018,0.002017788,0.006314818,0.003636177,0.01101533,0.000338988,0.001481425,0.000581076,0.00013561,0.000252006,0.001728009,0.021786746,0.000221009,0.002449517,0.040012438,0.000534951,0.015843427,0.000571787,0.004525888,0.003539532,0.000695465,0.000336413,0.000282117,0.001073421,0.000987677,0.000168602,0.00048615,0.000144779,0.000644291,0.000466313,0.000463088,7.86E-05,0.000654727,0.000148927,0.000142238,0.000152969,0.000244874,1.70E-05,6.52E-05
657,"Every day, more than half the days several days.",0,0,0,0,0.788312793,0.001267247,0.172546759,0.001626253,0.002111736,0.000292739,0.000839685,0.000136077,0.000399782,8.44E-05,1.39E-05,0.000148012,0.00123801,0.004252815,6.20E-05,0.000146899,0.003217004,0.000173035,0.008204018,0.000272763,0.011649524,0.0012669,5.96E-05,0.0002356,0.000106234,0.000105289,0.000397618,7.80E-05,0.000219131,7.50E-06,2.22E-05,5.17E-05,0.000268451,1.60E-05,4.79E-05,1.64E-05,1.67E-05,1.24E-05,7.29E-05,1.84E-06,2.17E-06
658,Not at all.,0,0,0,0,0.253046334,0.003078578,0.165955007,0.011555497,0.014934825,0.009298913,0.009036199,0.003759817,0.003231627,0.001307952,0.00561034,0.00268288,0.016921362,0.073061854,0.001020797,0.001321923,0.012294312,0.012482781,0.005966004,0.001931346,0.019317573,0.026199691,0.001272422,0.000516685,0.003516599,0.030340228,0.275842398,0.001199527,0.008588554,0.000445862,0.000437721,0.004602892,0.001469415,0.001342595,0.009786707,0.000415484,0.003778975,0.000662252,0.00128158,0.000227647,0.00025681
659,"
Okay,
poor appetite, or the opposite over eating.",0,0,0,0,0.290755421,0.00273347,0.559393585,0.004930711,0.011072489,0.018252755,0.009149681,0.001297505,0.005325038,0.000843055,0.000401304,0.00063743,0.002311804,0.006303103,0.000343242,0.017608283,0.026526961,0.002646731,0.002469525,0.004243735,0.019279752,0.00363407,0.00020185,0.003363897,0.000748046,0.000848477,0.000751368,0.000144724,0.00063385,0.000187408,0.00017883,0.000775374,0.000307942,0.000568933,0.000466886,0.000160452,0.000216641,3.71E-05,0.000147334,2.49E-05,7.64E-05
660,Nearly every day.,0,0,0,0,0.404059857,0.028209008,0.235058472,0.047222048,0.041630633,0.030597741,0.015392943,0.004703264,0.01073533,0.004597906,0.002069513,0.003231332,0.005216806,0.016797464,0.002622592,0.014534926,0.025961082,0.005693716,0.012993202,0.00493606,0.029104626,0.020843824,0.000989245,0.005477812,0.00311891,0.002582379,0.004352146,0.002561873,0.001965849,0.001235671,0.000909438,0.001990553,0.001467071,0.001444569,0.001220169,0.001133754,0.001078982,0.000564992,0.001105265,0.000286305,0.000302739
661,More than half of those several days.,0,0,0,0,0.509554088,0.001097652,0.385500282,0.003630822,0.003803597,0.000433145,0.003369048,0.000231487,0.001489375,0.000459986,5.18E-05,0.000167512,0.00111721,0.005273934,6.67E-05,0.000960359,0.03504749,0.000246089,0.006544216,0.000791574,0.031846963,0.004464639,8.67E-05,0.000881524,6.53E-05,0.000289573,0.000401156,0.00023462,0.000398908,5.60E-05,0.000168299,0.000221224,0.000445476,6.48E-05,0.000204022,3.61E-05,4.49E-05,1.24E-05,0.000216917,7.69E-06,1.64E-05
662,Not at all.,0,0,0,0,0.253046334,0.003078578,0.165955007,0.011555497,0.014934825,0.009298913,0.009036199,0.003759817,0.003231627,0.001307952,0.00561034,0.00268288,0.016921362,0.073061854,0.001020797,0.001321923,0.012294312,0.012482781,0.005966004,0.001931346,0.019317573,0.026199691,0.001272422,0.000516685,0.003516599,0.030340228,0.275842398,0.001199527,0.008588554,0.000445862,0.000437721,0.004602892,0.001469415,0.001342595,0.009786707,0.000415484,0.003778975,0.000662252,0.00128158,0.000227647,0.00025681
663,"feeling bad about yourself, or that you are a failure or have let yourself or your family down.",0,0,0,0,0.120642453,0.000305304,0.719341576,0.000936764,0.001588873,0.007436534,0.068838045,0.000921306,0.00135417,0.000881704,0.000119269,0.001126671,0.0016877,0.022167884,0.002071487,0.002085247,0.013207017,0.001347277,0.00199396,0.003950239,0.000894584,0.000397085,0.016114164,0.001233323,0.001438774,0.001361736,0.000431826,0.000587385,0.000567003,0.000150427,0.001067608,0.000824653,0.000842745,0.00046368,0.000668986,0.000129154,0.000242814,0.000115204,0.000243527,3.57E-05,0.000186113
664,"
Do you feel this way feeling bad about yourself.",0,0,0,0,0.039547719,0.000940737,0.031120434,0.00171318,0.00139886,0.001676505,0.815116823,0.001277825,0.003823216,0.000388089,0.000307414,0.001003913,0.000516599,0.012437299,0.007503648,0.031437702,0.016136048,0.004701103,0.000591037,0.009752396,0.004265417,0.001774338,0.003686791,0.004303262,0.000468732,0.000983735,0.000128276,0.000158713,0.000611639,0.000164785,0.000389286,0.000336974,0.000225735,0.000329663,0.000209919,4.24E-05,0.0001915,0.000118357,0.000101523,2.84E-05,9.01E-05
665,Not at all.,0,0,0,0,0.253046334,0.003078578,0.165955007,0.011555497,0.014934825,0.009298913,0.009036199,0.003759817,0.003231627,0.001307952,0.00561034,0.00268288,0.016921362,0.073061854,0.001020797,0.001321923,0.012294312,0.012482781,0.005966004,0.001931346,0.019317573,0.026199691,0.001272422,0.000516685,0.003516599,0.030340228,0.275842398,0.001199527,0.008588554,0.000445862,0.000437721,0.004602892,0.001469415,0.001342595,0.009786707,0.000415484,0.003778975,0.000662252,0.00128158,0.000227647,0.00025681
